Time	ID	Ax_cm/s2	Ay_cm/s2	Az_cm/s2	Q0	Q1	Q2	Q3
20:29:16.102	16	571.727695	-612.915625	-611.93496	0.15881	0.09976	-0.85049	0.49127
20:29:16.188	7	-619.78028	662.92954	13.72931	0.76617	0.63141	0.11914	0.00064
20:29:16.192	16	289.296175	-613.89629	-616.838285	0.15881	0.09976	-0.85049	0.49127
20:29:16.250	16	515.82979	-249.08891	-269.682875	0.30252	0.17981	-0.86945	0.34659
20:29:16.280	7	-284.39285	1155.22337	264.77955	0.76617	0.63141	0.11914	0.00064
20:29:16.368	7	-168.67438	1128.745415	180.44236	0.76617	0.63141	0.11914	0.00064
20:29:16.402	16	608.992965	-418.743955	-497.197155	0.30252	0.17981	-0.86945	0.34659
20:29:16.462	16	661.948875	-350.097405	-486.40984	0.30252	0.17981	-0.86945	0.34659
20:29:16.488	7	-274.5862	881.617835	166.71305	0.71353	0.60553	0.28311	-0.20966
20:29:16.553	16	701.175475	-258.89556	-531.52043	0.30252	0.17981	-0.86945	0.34659
20:29:16.578	7	-351.07807	762.95737	181.423025	0.71353	0.60553	0.28311	-0.20966
20:29:16.670	7	-417.76329	763.938035	144.157755	0.71353	0.60553	0.28311	-0.20966
20:29:16.731	16	677.639515	-227.51428	-653.12289	0.3316	0.18198	-0.88687	0.26505
20:29:16.789	7	-485.429175	811.009955	143.17709	0.71759	0.62747	0.23099	-0.19461
20:29:16.791	16	613.89629	-234.378935	-625.66427	0.3316	0.18198	-0.88687	0.26505
20:29:16.879	7	-226.533615	796.29998	145.13842	0.71759	0.62747	0.23099	-0.19461
